18:41:10–18:41:13  I say "我终于把那个狗屎数据洗完了".
19:45:10–19:45:16  Companion says 'NOA全局注意力这部分不是线性的，所以整体策略是，大多数层用线性的KDA控成本，少数层用NOA保全精确检索能力。'
19:45:16–19:45:21  I stretch a resistance band.
19:45:22–19:45:25  Companion says '你觉得他的这个回答的怎么样？'
19:45:26–19:45:31  I say '我觉得他回答跟没回答一样。'
19:45:32–19:45:39  I say '妈的，我想问他一个，他是不是把那个注意力压成跟一个KV向量一样？然后他说用一个矩阵。我操！'
19:45:40–19:45:43  I listen to my friend say '他说既不是也不是，然后用一个矩阵。你妹的！'
19:45:43–19:45:46  I grip the pull-up bar.
19:45:46–19:45:54  I look at the cable attachments on the floor.
19:45:54–19:45:58  I listen to my friend say '他说他把键值关系压缩到了这些状态里，把用它全推倒。'
19:45:58–19:46:02  I say '抽象。对。跟没看一样。主打一个抽。'
19:46:02–19:46:06  I walk toward the free weights area.
19:46:06–19:46:10  I grab the blue resistance band.
19:46:10–19:46:14  I pull down on a blue resistance band.
19:46:15–19:46:16  I check the looped resistance band overhead.
19:46:17–19:46:18  I survey the gym floor.
19:46:19–19:46:23  I walk across the gym floor.
19:46:24–19:46:28  I approach the SHUA abdominal crunch machine.
19:46:29–19:46:35  I touch the charging cable in the cup holder.
19:46:36–19:46:37  User A says "不行。"
19:46:38–19:46:40  I look at a person doing dumbbell bench presses.
19:46:40–19:46:43  I stand by a cable machine.
19:46:44–19:46:46  I look toward a flat bench.
19:46:47–19:46:50  I look around the gym.
19:46:51–19:47:04  I observe a person on a weight machine.
19:47:05–19:47:05  I look toward the barbell bench.
19:47:06–19:47:07  I examine my palm.
19:47:08–19:47:09  I look down the gym aisle.
19:47:10–19:47:13  My friend asks '觉得你觉得那个那个布克，要买新的好还是买旧的？'
19:47:13–19:47:16  I say '便宜的话买二手的吧。'
19:47:16–19:47:18  I say '可以啊。有什么差别吗？没什么差别。'
19:47:18–19:47:22  I say '我给咱买。不知道叫什么店，就淘宝一个店。'
19:47:22–19:47:29  I say '哦。嗯，你要买 MacBook Air，你要买 MacBook Air 吗？还是什么？'
19:47:29–19:47:34  I say '十三寸。买 M 几？'
19:47:34–19:47:39  I say '啊，看价格是吧？'
19:47:40–19:47:48  My friend says 'M二M二就是那个新款的刘海屏，我感觉能便宜一半儿吧，比现款。我估计你要用你要用十六加二五六的话，十六加二五六，三千我感觉。'
19:47:48–19:47:51  I say '三千吗？那还不是很贵哦。' to my friend.
19:47:51–19:47:54  My friend says '二五六啊啊，八加二五六，八加二五六。'
19:47:54–19:47:56  I say '哦，那他的话很少。' to my friend.
19:47:56–19:48:00  I say '你现在是二五六二五六，这么少。我现在是十六加五幺二，' to my friend.
19:48:00–19:48:03  My friend says '对我说你那个八加二五六，我感觉少。'
19:48:03–19:48:06  I say '那你是要外挂硬盘吧？' to my friend.
19:48:06–19:48:08  My friend says '嗯，对，我有一个外挂的SD卡，但是一般不太用。'
19:48:08–19:48:10  I check the smartphone lock screen.
19:48:10–19:48:11  I say '用，我可以给你查一下。'
19:48:11–19:48:12  Friend says '你可以查一下。'
19:48:12–19:48:14  Friend asks '去转转买好还是淘宝买？'
19:48:14–19:48:18  I say '转转比较贵，转转一般会贵个几百块钱吧。'
19:48:18–19:48:22  I say '淘宝你找那些大店的，品质都可以，都有保修的一年。'
19:48:22–19:48:24  Friend says '哦。'
19:48:24–19:48:26  Friend asks '会给你偷偷换点什么东西？'
19:48:26–19:48:28  I say '苹果很难换吧？苹果需要焊。'
19:48:28–19:48:29  Friend says '焊。'
19:48:30–19:48:32  I say '对，它相当于它的板子得拆开焊。'
19:48:32–19:48:35  I say '对，苹果内存是焊上去的。'
19:48:35–19:48:36  Friend says '内存焊上去。'
19:48:36–19:48:38  I tap the Taobao search box.
19:48:38–19:48:40  I type 'mac' into Taobao search.
19:48:40–19:48:45  I type 'MacBook air 二手 m2'.
19:48:46–19:48:48  I submit the search for 'MacBook air 二手 m2'.
19:48:49–19:48:51  I look at my friend while discussing SSD size.
19:48:52–19:48:59  I open the iOS Control Center.
19:49:00–19:49:03  I close the iOS Control Center.
19:49:04–19:49:09  I browse MacBook Air M2 listings on Taobao.
19:49:10–19:49:13  I say '到了四百多，哎，怎么还有四千呢？'.
19:49:14–19:49:16  I say '看一下，让我们看一看'.
19:49:17–19:49:20  I say '不会不会，二手的也涨价了吗？我操，应该都涨，瞎买真的简直是太贵太亏了。'.
19:49:21–19:49:29  I tap '立即购买' on the product detail page.
19:49:30–19:49:35  I select '95新20款13Air/M1芯片/8G+256G'.
19:49:36–19:49:39  I say 'M一芯片是老款的那种，你要老款的吗？就是那种，啊。'.
19:49:40–19:49:42  My friend asks 'M四M四会差很多不？'.
19:49:42–19:49:45  I say 'M四M四会差不少，我感觉。不要买太大，十三寸就够。'.
19:49:45–19:49:48  I say 'M四我估计得五六千。'.
19:49:48–19:49:50  My friend asks '这么贵吗？'.
19:49:50–19:49:55  My friend says '我看现在那个原原M五的话，十六加五幺二是七千六。'.
19:49:55–19:50:01  I view second-hand M4 MacBook Air search results.
19:50:01–19:50:06  My friend says '十六加五六，六千块钱。'.
19:50:06–19:50:10  I say '对，九九新。'.
19:50:10–19:50:12  Friend asks '对啊。什么色？'.
19:50:12–19:50:15  I ask '九九新是什么意思？'.
19:50:15–19:50:17  Friend replies '就是几乎全新。'.
19:50:17–19:50:19  I ask '为什么会有九九新？'.
19:50:19–19:50:22  Friend says '就是他自己命名的嘛。'.
19:50:22–19:50:25  I say '我想知道他九九新到底是新的什么程度。'.
19:50:25–19:50:29  Friend explains '就是肯定没有任何划痕。什么九八新、九五新，一般就是有一点儿。'.
19:50:29–19:50:31  I say '哦，对。'.
19:50:31–19:50:35  Friend says '他会说，你可以找他问。你也可以去转转，贵个几百块钱。'.
19:50:35–19:50:37  I ask '那他们俩会有什么区别吗？'.
19:50:37–19:50:40  Friend replies '没区别啊。我没买过转转，我不。'.
19:50:40–19:50:43  I listen to my companion say '不知道，那确实贵一些。其实 M 四跟 M 三差的好像不是特别多。'
19:50:43–19:50:45  I ask '那 M 五呢？'
19:50:45–19:50:48  I listen to my companion say '好像也差不多。对，差不特别多。都是挤牙膏。'
19:50:49–19:50:56  I listen to my companion say '对，好像 M 一到那一代就是差的比较大。M。英特尔，英特尔到 M 一，对，然后后面几代都差不特别多。'
19:50:56–19:50:59  I say '可以，只要你是你是这家店买的。'
19:50:59–19:51:06  I listen to my companion say '我不知道。淘宝上看的。淘宝上随便看的。'
19:51:07–19:51:09  I say '对啊。'
19:51:10–19:51:11  My friend says "随便看呢。"
19:51:11–19:51:14  I say "我买的还没五千八呢，我才买五千六吧。" to my friend.
19:51:14–19:51:16  My friend asks "那是M级。"
19:51:16–19:51:17  I say "M二。"
19:51:17–19:51:18  My friend asks "M二什么？"
19:51:18–19:51:23  I say "哎，是M二吗？不对，我是M一Pro，还是M一Pro？去年。银色。" to my friend.
19:51:23–19:51:29  I read the MacBook Air options on the Taobao modal.
19:51:29–19:51:32  My friend asks "你觉得这些电脑M级差别都不大是吗？"
19:51:32–19:51:34  I adjust my glasses.
19:51:34–19:51:40  I say "对啊，我觉得差别不大。我觉得M一Pro现在还是非常的流畅，除了内存有点小以外，我感觉十六开很多靠的终端还是。" to my friend.
19:51:40–19:51:42  User A says '有点卡。'
19:51:42–19:51:46  User A says '我操！我这边是两千多，哦，没去。哎，为啥是两千六？'
19:51:46–19:51:49  I say '那你这个跳的比较慢。'
19:51:49–19:51:50  User A says '啥意思？'
19:51:50–19:51:53  User A says '我操！再加一千块就能买一个M五。'
19:51:53–19:51:54  I say '对啊。'
19:51:54–19:51:56  User A says '而且还是最新款。'
19:51:56–19:51:57  I say '对啊。'
19:51:57–19:51:59  User A says '感觉差不多。'
19:51:59–19:52:01  I say '差不了太多。'
19:52:01–19:52:04  User A says '对啊，那你买新的真的也可以啊。'
19:52:04–19:52:07  I say '买新的得了。'
19:52:07–19:52:09  User A says '可以啊。'
19:52:10–19:52:13  I listen to friend saying '得把它卖个好价钱。'
19:52:13–19:52:17  I listen to friend saying '新的我记得之前不是才五千多块钱，我同学买的M四还是M三啊？'
19:52:17–19:52:22  I listen to friend saying '就是当时的时候M四好像是五千多块钱，现在好像都涨价了，是不是？'
19:52:22–19:52:24  I say '对。'
19:52:24–19:52:27  I listen to friend saying '那时候还有国补来着，现在还有国还有吗？'
19:52:27–19:52:29  I say '我不知道。'
19:52:29–19:52:31  Friend says '没有了。'
19:52:31–19:52:37  I listen to friend saying '估计又多一千多块钱，国补一千多，然后涨价了又涨个几百块钱。'
19:52:37–19:52:40  I say '对。对。'
19:52:40–19:52:41  I inspect the cable machine column.
19:52:42–19:52:42  I look across the gym floor.
19:52:43–19:52:45  I look at the cable attachments.
19:52:46–19:53:01  I inspect the accessories on the rack.
19:53:02–19:53:02  I say "嗯。".
19:53:03–19:53:05  I hold the Decathlon resistance band.
19:53:06–19:53:08  I look at the weight stack shroud.
19:53:09–19:53:10  I look across the gym.
19:53:10–19:53:12  I hold a resistance band.
19:53:13–19:53:15  I face my friend.
19:53:16–19:53:18  The friend says '你看，我今天这个内存，一百五十八买的。'
19:53:19–19:53:20  I say '嗯哼。'
19:53:21–19:53:23  The friend says '现在买，哦。翻了一倍。'
19:53:24–19:53:26  I say '是的，翻了一倍。'
19:53:27–19:53:30  The friend says '你看这个，二百七。'
19:53:31–19:53:33  The friend says '然后，什么？'
19:53:34–19:53:35  I say '嗯。'
19:53:36–19:53:39  The friend says '怎么没了？'
19:53:40–19:53:43  I say '不是硬盘吗？是硬盘。'
19:53:43–19:53:47  I say '这个，这个是涨了好多。'
19:53:47–19:53:51  I say '一千三。当时应该是，一千零三差不多。'
19:53:51–19:53:57  I say '当时四百涨了，涨了三倍，我操，牛逼。'
19:53:57–19:54:04  I say '应该是这个，SATA M.点二，'
19:54:04–19:54:07  I say '不能购买。'
19:54:07–19:54:10  I look at the checkout page.
19:54:10–19:54:14  I say "最下面那个是吗？M.2，最下面那个感觉，啊，不是PCIe，那应该是最上面这个".
19:54:14–19:54:18  I say "你看这个，西数的，可以，涨了快三倍".
19:54:18–19:54:23  I say "我操，怎么硬盘涨这么多？比内存涨还多，太屌了，感觉自己赚赚了不少钱".
19:54:23–19:54:27  I look at the cable machine column.
19:54:27–19:54:34  I say "二六，不是硬盘，硬盘有什么厂家在卡？".
19:54:34–19:54:39  I gesture toward the tricep rope attachment.
19:54:40–19:54:44  My companion says '啊，这个可能是他们搞大，大模型算力中心吧，不知道。好奇怪。我发现我显卡也涨价了。'
19:54:45–19:54:48  I grip the cable machine column.
19:54:49–19:54:53  My companion explains '三三。现在好像是三千六零。三千三百还是三千出头了？三千一万，现在好像四千多。四千出头。'
19:54:54–19:54:58  I ask '你要把它卖了吗？' and hear '不卖。卖了我就买不到这这么便宜的卡。'
19:54:59–19:55:04  My companion says '我显卡是台式的。'
19:55:05–19:55:10  I look down at the cable machine base.
19:55:10–19:55:16  I say '两千，是，是四零六零，Ti，卡，难道显卡这么保值？'.
19:55:16–19:55:23  I say '买显买黄金不能买显卡'.
19:55:23–19:55:27  I watch my partner flex.
19:55:27–19:55:30  I look at my smartphone on the bench.
19:55:30–19:55:34  I say '再做一组。'.
19:55:34–19:55:36  I sit on the machine seat.
19:55:36–19:55:38  I adjust my glasses.
19:55:38–19:55:40  I stretch my wrists.
19:55:40–19:55:47  I look toward the gym floor.
19:55:48–19:55:50  I clasp my hands together.
19:55:50–19:55:55  I massage my left fingers.
19:55:55–19:56:02  I squeeze my left ring finger.
19:56:03–19:56:07  I massage my left index finger.
19:56:07–19:56:10  I pinch my left index finger.
19:56:10–19:56:13  I inspect my left hand.
19:56:13–19:56:16  I watch my friend grip the barbell.
19:56:16–19:56:18  I lie back on the bench.
19:56:18–19:56:20  My friend says '啊，走。'
19:56:20–19:56:26  I stabilize the barbell.
19:56:26–19:56:32  I hold the barbell.
19:56:32–19:56:36  I hold the barbell as my friend guides it.
19:56:36–19:56:40  My friend says '感觉不没事儿，不用使劲儿。'
19:56:40–19:56:42  I hold the barbell.
19:56:42–19:56:45  I say '我操，还是使劲好。' to User A.
19:56:45–19:56:48  I rerack the barbell with User A.
19:56:48–19:56:50  I say '没了。' to User A.
19:56:50–19:56:53  I sit up.
19:56:53–19:56:56  I stand up.
19:56:56–19:56:58  I say '啊，好软。' to User A.
19:56:58–19:57:00  I follow User A.
19:57:00–19:57:03  I retrieve my headphones.
19:57:03–19:57:07  I walk behind User A.
19:57:07–19:57:10  I say '就这样吧，走。' to User A.
19:57:10–19:57:15  I walk toward the MO-CATCH kiosk.
19:57:16–19:57:20  I inspect the kiosk scale platform.
19:57:21–19:57:25  I read the MO-CATCH kiosk screen.
19:57:26–19:57:31  I walk past the reception desk.
19:57:32–19:57:34  I reach for the restroom door handle.
