17:54:10–17:54:14  I descend the stairs.
19:05:03–19:05:05  I steer past an oncoming car.
19:05:06–19:05:09  I accelerate over deceleration stripes.
19:05:10–19:05:15  I steer the electric tricycle.
19:05:16–19:05:18  I say '左边。'
19:05:19–19:05:21  I accelerate past the intersection.
19:05:22–19:05:25  I say '啊，这里蛮爽的。'
19:05:26–19:05:28  I observe the meadow.
19:05:29–19:05:33  I say '这个东西，这个车在这。'
19:05:34–19:05:39  I drive along the curve.
19:05:40–19:05:43  I drive the scooter.
19:05:44–19:05:49  I decelerate past parked cars.
19:05:50–19:05:55  I say '哇！哦。看一下这个面包。'
19:05:56–19:05:59  I say '哦。看一下这个面包。虽然我现在很饱。'
19:06:00–19:06:06  I turn off the scooter ignition.
19:06:07–19:06:09  I say '不是怎么还滑行？'
19:06:10–19:06:12  I say '再抹一点那个'.
19:06:12–19:06:15  I step off the cart.
19:06:15–19:06:17  I say '我操！我被咬飞了。'.
19:06:17–19:06:20  My companion asks '你刚刚被咬了多少啊？'.
19:06:20–19:06:23  My companion hands me Mopidick.
19:06:23–19:06:27  I say '我刚刚被我刚刚一，二三，我被咬飞了。'.
19:06:27–19:06:31  My companion applies Mopidick to my leg.
19:06:31–19:06:34  I apply Mopidick to my arm.
19:06:34–19:06:37  My companion says '买一送一啊！买一送一啊！'.
19:06:37–19:06:40  I hold the bottle cap.
19:06:40–19:06:43  My companion asks '你这车是两驱的吗？'
19:06:43–19:06:47  My companion asks '你这车里没有气囊吗？'
19:06:47–19:06:51  I exclaim '哎哎哎！哈哈哈哈！'
19:06:51–19:06:54  I say '不是，不是，驻车一下。'
19:06:54–19:06:55  My companion asks '什么意思啊？'
19:06:55–19:06:56  I say '好了，锁了。'
19:06:56–19:06:58  My companion asks '你刚刚没锁吗？'
19:06:58–19:07:00  I say '没锁。'
19:07:00–19:07:02  My companion asks '那应该是什么？'
19:07:02–19:07:06  I say '刚刚是滑行状态。'
19:07:06–19:07:10  I observe the wooden bakery and traffic light.
19:07:10–19:07:12  I look at a wooden bakery across the road.
19:07:13–19:07:16  I walk toward the bakery entrance.
19:07:17–19:07:20  I step onto the bakery porch.
19:07:21–19:07:24  I open the wooden door and enter the bakery.
19:07:25–19:07:27  I turn back toward the doorway as a customer enters.
19:07:28–19:07:29  I say '把门关上。' while closing the door.
19:07:30–19:07:33  I turn toward the bakery counter.
19:07:34–19:07:37  I hear '夏巴塔没有。' as a customer points at the bread.
19:07:38–19:07:39  I look at the bakery seating area.
19:07:40–19:07:44  I examine the handmade accessories.
19:07:45–19:07:47  I say '啊！啊，不要了，逛一逛。'.
19:07:48–19:07:53  I walk towards the cafe counter.
19:07:54–19:07:56  I view the cafe counter.
19:07:57–19:07:59  I say '哇，这个。'.
19:08:00–19:08:03  I look at the window lounge area.
19:08:04–19:08:07  I scan the seating area.
19:08:08–19:08:10  I look towards the accessory wall.
19:08:10–19:08:13  I say '这个屋子真不错哎！你再让我给你拍张照片'.
19:08:13–19:08:16  Companion says '没啥可拍的。走吧，你不要拍吗？'.
19:08:16–19:08:20  I say '不要。好，你拍一张。是不是？拍啥呀？这拍啥呀？拍一张吧。'.
19:08:20–19:08:25  Companion says '手机。算了算了，不拍。'.
19:08:25–19:08:29  I observe the lounge chairs and forest view.
19:08:29–19:08:34  I say '你就坐一下', companion says '不拍不拍', I say '啊，好好好，走吧走吧。'.
19:08:34–19:08:37  I turn toward the bakery counter.
19:08:37–19:08:40  I open the wooden glass door.
19:08:40–19:08:43  I step out of the visitor station.
19:08:43–19:08:48  I look at a three-wheeler electric tricycle.
19:08:49–19:08:53  I inspect a white device.
19:08:54–19:08:57  I say '好。哎。我操！这尾灯竟然是法拉利。'
19:08:58–19:09:03  I walk along the red path.
19:09:04–19:09:10  I walk past a surfboard toward an outdoor pavilion.
19:09:10–19:09:11  I say '在这洗手间拍一个' to my companion.
19:09:11–19:09:13  My companion says '啊！我谢你啊！'.
19:09:13–19:09:16  My companion says '你看这个烤面包最好了。'.
19:09:16–19:09:19  I inspect the oven.
19:09:19–19:09:21  I say '我操，在烤呢，现在。'.
19:09:21–19:09:24  I say '我操，那个纸在车上没拿。这里面有纸吗？'.
19:09:24–19:09:27  I say '这估计很难有。'.
19:09:27–19:09:31  My companion says '啊，没有。'.
19:09:31–19:09:35  I take my companion's white bag.
19:09:35–19:09:37  I say '你决定用手了。' to my companion.
19:09:37–19:09:40  I gaze at the lake.
19:09:40–19:09:47  I look at the river and karst mountains.
19:09:47–19:09:54  I say '这个镜子让我想起了之前在桂林那边拍的最美洗手间，好有意思呀！'.
19:09:54–19:09:58  I walk onto the road.
19:09:58–19:10:03  I say '这个地方，光这个电动车骑车就很有意思了。'.
19:10:03–19:10:06  I approach the shop entrance.
19:10:07–19:10:10  I pull open the entrance door and enter.
19:10:10–19:10:13  I look at the menu boards.
19:10:14–19:10:20  I read the bakery menu boards.
19:10:21–19:10:23  I look across the cafe.
19:10:24–19:10:27  I observe customers browsing crafts and exiting.
19:10:28–19:10:31  I look toward the window above the door.
19:10:32–19:10:34  I look into the kitchen prep area.
19:10:35–19:10:39  I look toward the souvenir shelf and seating area.
19:10:40–19:10:43  I observe the display counter.
19:10:43–19:10:48  I gaze at the dome speaker.
19:10:48–19:10:52  I reach toward the speaker.
19:10:52–19:10:56  I press the speaker button.
19:10:56–19:10:58  I look at the butterfly specimen.
19:10:58–19:11:01  I hear a customer ask '有优惠吗？'.
19:11:01–19:11:03  I watch a man reach for ornaments.
19:11:03–19:11:07  I examine the wall display.
19:11:07–19:11:10  I look toward the bakery counter and seating area.
19:11:10–19:11:13  I observe the seating area.
19:11:14–19:11:21  I read the bakery menu banners.
19:11:22–19:11:24  I walk toward the front door.
19:11:25–19:11:27  I push open the front door.
19:11:28–19:11:29  I observe my companions on the roadside.
19:11:30–19:11:32  I ask '吃不吃冰激凌？' and receive '好。'.
19:11:33–19:11:36  I watch the electric tricycles on the road.
19:11:37–19:11:39  I watch the passing electric tricycles and pedestrians.
19:11:40–19:11:44  I observe the pink tricycle as someone asks '开不开？老好玩了这车。'
19:11:45–19:11:48  I walk to the tricycle as someone says '开，开不开？你开，来吧。'
19:11:48–19:11:53  I say '就打就打开。' while turning the ignition key.
19:11:54–19:11:57  I grip the handlebar.
19:11:58–19:12:04  I explain '就就就右边拧就行，两边刹车，脚上也是刹车。脚上也是刹车。'
19:12:05–19:12:09  I observe my companion as someone says '对，嘎嘎开就行。'
19:12:10–19:12:12  I hear '咋走啊？' and '右拐，先右拐。这边拐。右拐，对。'
19:12:12–19:12:15  I enter the electric trike.
19:12:15–19:12:18  I hear '这是这是刹车，不打刹车。就是跟自行车一样，右边是油门，一拧就走。'
19:12:18–19:12:20  I hear '这个是什么？'
19:12:20–19:12:22  I point toward the dashboard while hearing '这个不用管。右脚也那个也是刹车。'
19:12:22–19:12:25  I hear '这个是什么？'
19:12:25–19:12:28  I hear '哪个？刹车。不用动，那不用动，那是驻车。'
19:12:28–19:12:34  I observe my friend gripping the handlebars.
19:12:34–19:12:39  I say '你你先捏。'
19:12:40–19:12:43  The rental staff says '使劲捏，然后把它一弄，这样它就卡住了。'
19:12:43–19:12:45  My friend says '对，这样它就卡住了。'
19:12:45–19:12:47  The staff says '啊，不用管这些。'
19:12:47–19:12:51  I say '等一下，等一下，你等一下，你不要急。你等一下，这也是刹车。' to my friend.
19:12:51–19:12:53  The staff says '对。'
19:12:53–19:12:55  My friend says '这我咋咋咋转啊？这。'
19:12:55–19:12:57  The staff says '你先解个锁。'
19:12:57–19:12:58  The staff says '对。'
19:12:58–19:13:02  My friend says '这也是踩的是吧？这个脚也是。'
19:13:02–19:13:05  I watch the electric cart drive ahead.
19:13:05–19:13:10  I observe the fruit juice cart.
19:13:10–19:13:13  I say "对，刹车。"
19:13:14–19:13:17  I say "开了，这个开了。对。"
19:13:18–19:13:20  I watch the juice cart and road ahead.
19:13:21–19:13:25  I retrieve a spray bottle from my handbag.
19:13:26–19:13:28  I watch children running past.
19:13:29–19:13:32  I say "哎，他们还有路线图，操！"
19:13:33–19:13:35  I watch the white electric buggy ahead.
19:13:36–19:13:40  I observe the wooden cafe and parked sidecar motorcycle.
19:13:40–19:13:44  I say '哦，凉快，舒服嘞'.
19:13:44–19:13:47  The companion asks '好玩不？'.
19:13:47–19:13:52  I say '好多车前面，全是这小车。'.
19:13:53–19:13:58  The companion says '是嘞。'.
19:13:59–19:14:02  I look at the green meadow and distant karst hills.
19:14:03–19:14:06  I raise my right hand to feel the breeze.
19:14:07–19:14:09  I look ahead at the curving road and karst peaks.
19:14:10–19:14:14  The driver asks '他们为什么是往前开的呀？'.
19:14:14–19:14:18  I say '啊，不知道啊。'.
19:14:18–19:14:22  I look at the vehicle dashboard.
19:14:22–19:14:26  The companion says '左边底下。'.
19:14:26–19:14:34  I say '没事，你要有喇叭，你自己叫一声就行。'.
19:14:34–19:14:39  I watch the road ahead.
19:14:40–19:14:44  I say '嘿嘿嘿，哎呀，可以呀，小姚可以呀。' to Xiao Yao.
19:14:44–19:14:48  I reply '不知道，随便绕吧。' when Xiao Yao asks '咋走？'
19:14:48–19:14:53  I say '不是，顺着这个路走，顺着这个路走。' to Xiao Yao.
19:14:53–19:14:57  I say '这个这个车，这个路咋拐你就咋拐。' to Xiao Yao.
19:14:57–19:15:02  I say '你看一下子。' when Xiao Yao asks '这这这左右咋拐啊？'
19:15:02–19:15:06  I say '哦哦，右拐吧，估计。'
19:15:06–19:15:09  I monitor the electric cart turning right.
19:15:10–19:15:12  My companion says "又又得再绕回去".
19:15:12–19:15:14  I say "啊，对，啥意思？你刚刚不按导航走的？" to my companion.
19:15:15–19:15:17  My companion says "不是啊，我瞎走的。"
19:15:18–19:15:20  I say "不是，绕吧。" to my companion.
19:15:21–19:15:26  I look at the scenic landscape.
19:15:27–19:15:29  I check the Amap navigation.
19:15:30–19:15:31  The navigation app announces "导航结束，期待下次再见。"
19:15:32–19:15:35  I say "不是，怎么就导航结束了吗？" to my companion.
19:15:36–19:15:39  My companion says "刚才那块儿就是榆林坝。"
19:15:40–19:15:45  I listen to my companion say '啥意思？刚才那个面包房。一般应该是一个那个有很多鳞片形状的那个水坝呀。'
19:15:45–19:15:50  I listen to my companion say '哦，那样嘛，那估计是往跟着他们往里走吧。'
19:15:50–19:15:54  I say '我这是瞎指路。'
19:15:54–19:15:59  I say '走，往前走，右拐就就拐进去了，就就就这个就就这个路。'
19:15:59–19:16:04  I listen to my companion ask '你这确定绕了一圈啊？'
19:16:04–19:16:07  I say '对啊，绕绕了一圈，这不给你练手呢吗？'
19:16:07–19:16:10  I look down at my hands.
19:16:10–19:16:13  I ride in an open sightseeing cart.
19:16:14–19:16:16  Someone says '哎呦，我操！摘上牌呢，这车。'
19:16:17–19:16:21  The driver asks '哪边走？'
19:16:22–19:16:25  I say '右拐。'
19:16:26–19:16:29  The driver asks '哪个车上牌？'
19:16:30–19:16:32  I say '咱们这个车。'
19:16:33–19:16:36  The driver remarks '那可不咋的，那肯定得上牌啊。'
19:16:37–19:16:39  I look at the road ahead.
19:16:40–19:16:42  I say '好凉快啊！'.
19:16:43–19:16:49  I say '果然，这个小敞篷车就是好，跟汽车完全不一样。'.
19:16:50–19:16:58  I watch oncoming vehicles.
19:16:59–19:17:01  I view the illuminated pavilion.
19:17:02–19:17:04  I raise my hand.
19:17:05–19:17:07  I observe the cars ahead.
19:17:08–19:17:09  I say '直着走。'.
19:17:10–19:17:12  I ride in an electric cart.
19:17:13–19:17:18  The companion says '榆林坝，人家明明是直走的，你非瞎指挥。'
19:17:19–19:17:22  The driver says '那要倒车咋倒？'
19:17:23–19:17:27  I say '哦，你先不用管，右边。'
19:17:28–19:17:33  I examine the directional signboards.
19:17:34–19:17:36  I look at the resort lodge staircase.
19:17:37–19:17:39  I watch an oncoming electric scooter.
19:17:40–19:17:46  The driver says '边那个有个倒车键，我左转右转，得看着这个。'.
19:17:46–19:17:48  I say '这这我哪知道？'.
19:17:48–19:17:51  I say '应该是右转吧。'.
19:17:51–19:17:53  I say '哦，左转。'.
19:17:53–19:17:57  I say '左转左转，转。'.
19:17:57–19:18:04  I lower my arm.
19:18:04–19:18:06  I read the roadside directional signs.
19:18:06–19:18:10  I observe an oncoming tour cart pass.
19:18:10–19:18:14  I say '哎呦，他们那个轮子上还带那个装饰嘞！'
19:18:15–19:18:18  I observe the roadside water.
19:18:19–19:18:23  I say '你说这个绿绿绿浑浑的这个水，竟然建了一个休闲道。'
19:18:24–19:18:29  I say '如果我这样是一个急转弯，'
19:18:30–19:18:35  I say '它会倒流，它会往两边倒。'
19:18:36–19:18:39  I look at distant buildings and mountains.
19:18:40–19:18:44  The driver says '会啊，倒了就扶起来呗，那有啥的？'.
19:18:44–19:18:46  The driver asks '好玩不？'.
19:18:46–19:18:49  I say '不好玩，开快点就好玩了。'.
19:18:49–19:18:51  I say '别老刹车。'.
19:18:51–19:18:54  The driver says '哎，你这人咋这样呢？'.
19:18:54–19:19:00  The driver says '你看压水可好玩了，颠屁股也好玩，'.
19:19:00–19:19:04  The driver says '颠死你这个！'.
19:19:04–19:19:10  I shout '哎呦，我操，撞头了！'.
19:19:10–19:19:16  I ride in an electric cart.
19:19:17–19:19:20  I look ahead down the road.
19:19:21–19:19:24  I observe the cart turning into a parking area.
19:19:25–19:19:30  I watch the cart pull into a parking spot.
19:19:31–19:19:33  I say '到了。在这呢。'.
19:19:34–19:19:36  I say '非常完美的售后。走。' while packing my bag.
19:19:37–19:19:37  I say '大门。'.
19:19:38–19:19:39  I say '那里头呢？' while pointing at the rice field.
19:19:40–19:19:42  I observe the paddy field.
19:19:43–19:19:46  I hear '这停车位收费吗？' and the attendant replies '啊，五块。'
19:19:47–19:19:51  I hear '那咱们停别地儿吧。'
19:19:52–19:19:56  I hear '倒车，倒车。不是。这边。'
19:19:57–19:20:02  I hear '等一下，等一下，我还没。'
19:20:03–19:20:06  I adjust the right handlebar switch.
19:20:07–19:20:09  I say '好了，拧就行，拧就行。'
19:20:10–19:20:13  I say '拧，好，再按一下倒车，好，往前走，随便停个路边儿就行。'
19:20:13–19:20:16  I say '不是不看了，溜达。给你报到了。拿拿。'
19:20:16–19:20:21  I say '往前走，往前走，往前走。'
19:20:22–19:20:27  I ask '下面是什么？' while pointing at the parking billboard.
19:20:28–19:20:33  I observe the entrance archway and red barrier sign.
19:20:34–19:20:37  I say '奇峰探险骑行路线。对。' while reading the guidepost.
19:20:37–19:20:40  I say '我说这太坑了。'
19:20:40–19:20:43  I say '还收费呢？榆林坝收费吗？榆林坝不收费啊。'
19:20:44–19:20:51  I say '那你就停这块儿，就就停前面这块儿。这个只要有不是，就别听他格里，你停停那个前面那个车后边儿，这个汽车后边儿，B C幺六。'
19:20:52–19:20:58  I say '哎呦，这也是。你再往前，再往前，没事儿。'
19:20:59–19:21:00  I say '你只要是能看到，你看他们都有人守，怎么可能让你钻空子？'
19:21:01–19:21:05  I say '没事儿，咱停离远一点儿。'
19:21:06–19:21:09  I say '这开什么玩笑呢？我操，这也能赚钱？'
19:21:10–19:21:14  I say '是咋的？里面进不去了？进去了？好吧。'
19:21:14–19:21:18  I say '那说好的骑行道呢？我也不知道啊。'
19:21:18–19:21:23  I say '这里边能进去吗？没意思。'
19:21:23–19:21:28  I say '长留山居是酒店是吗？到应该是。'
19:21:28–19:21:34  I say '转吧，转吧。'
19:21:34–19:21:39  I say '没事，那就。'
19:21:40–19:21:44  The attendant says "还看不？我来，我来给你找个地儿，我来给你找个地儿停。"
19:21:44–19:21:49  I watch the attendant point forward.
19:21:49–19:21:53  I look at the cornfield.
19:21:53–19:21:55  The driver asks "左拐是吧？前面路口左拐是吧？"
19:21:55–19:21:57  The attendant says "哦哦哦！好好好。"
19:21:57–19:22:01  The driver says "嘿嘿，都被我带。走着。"
19:22:01–19:22:06  I look toward the upcoming village.
19:22:06–19:22:09  I say "这这。"
19:22:10–19:22:13  I ride in the electric cart as my companion says '能走，还去看雨林爸爸就停这儿就行。真的真的，停这儿就行，就停这儿。'
19:22:13–19:22:16  I watch the road ahead as someone says '你这这这哪行？可以，就停这儿。'
19:22:16–19:22:18  I point right and say '你别别别那啥了，你看这全尿了，要洗了都都可能让你钻空子。这没有停车位画。'
19:22:18–19:22:21  I look forward as the cart drives past a man on the left.
19:22:21–19:22:24  I look at the blue parking fee board as someone says '哎，都写这儿了。'
19:22:24–19:22:28  I observe the blue metal shed and stacked materials on the left.
19:22:28–19:22:33  I look down the street toward concrete blocks and parked vehicles.
19:22:33–19:22:36  I look at the bamboo fence as someone says '小狗狗好可爱呀！'
19:22:36–19:22:39  I point at the bamboo fence enclosure and say '那后面呢？'
19:22:40–19:22:44  I observe the rural road.
19:22:44–19:22:47  I look toward a white BYD SUV.
19:22:47–19:22:50  I point and say '停在那个白色的比亚迪后边。'
19:22:50–19:22:54  I say '你把钥匙拔了就行了。'
19:22:54–19:22:59  I say '没事儿，没事儿，没事儿。'
19:22:59–19:23:05  I look ahead down the village road.
19:23:05–19:23:10  I read the 'P 停车场' signboard.
19:23:10–19:23:16  I ride in the electric cart.
19:23:17–19:23:21  I watch the cart enter the parking area.
19:23:22–19:23:26  I say '可以可以，停吧。'
19:23:27–19:23:33  I say '停停停，停停停，行。'
19:23:34–19:23:40  I look at the parked Jeep.
19:23:40–19:23:43  I say '这干哈子？在酒店吗？' to the driver.
19:23:44–19:23:46  The driver says '行。'
19:23:47–19:23:50  I say '停在门口不好。'
19:23:51–19:23:54  The driver says '可以，可以。'
19:23:55–19:23:57  I watch the driver stop the cart.
19:23:58–19:24:00  I look at the building entrance door.
19:24:01–19:24:03  I look at litter on the ground.
19:24:04–19:24:08  I look at the 'CL95' footboard panel.
19:24:09–19:24:10  I look at the ground near the building.
19:24:10–19:24:15  I say '行行，拧到最左边拔出来就行。' to my companion.
19:24:16–19:24:20  I pick up the white shoulder bag.
19:24:21–19:24:23  I monitor the companion turning the ignition key.
19:24:24–19:24:27  I step out onto the asphalt ground.
19:24:28–19:24:30  The companion says '我，真假？别给我拖走喽！'
19:24:31–19:24:34  I say '你都锁了，他咋拖？' to my companion.
19:24:35–19:24:39  I walk down the paved road.
19:24:40–19:24:43  I walk down the street following my companion.
19:24:44–19:24:46  My companion says '哪有人管你？'.
19:24:47–19:24:51  I walk toward the parked van.
19:24:52–19:24:55  I say '哎，你看，就那个，就那个。'.
19:24:56–19:25:00  I walk past a parked silver AION car.
19:25:01–19:25:05  I read the blue notice sign '温馨告示 全村路段一律 不准停放车辆'.
19:25:06–19:25:09  I walk toward a puppy on the roadside.
19:25:10–19:25:13  I observe a puppy sitting by a gate.
19:25:14–19:25:17  I walk forward looking down.
19:25:18–19:25:23  I watch the puppy as a pedestrian walks past.
19:25:24–19:25:32  I say '可忠实了，人家小狗狗，狗狗，狗狗，人家，'.
19:25:33–19:25:39  I say '它吃了个啥呀？'.
19:25:40–19:25:42  I observe a puppy.
19:25:42–19:25:44  My companion says '热乎乎的，看到你吓死了，害怕了。'
19:25:44–19:25:46  I say '但是还是没有五K好玩。'
19:25:46–19:25:47  My companion says '走。'
19:25:47–19:25:51  I say '你看家狗，应该蛮年轻一辈。'
19:25:51–19:25:55  I walk along the road.
19:25:55–19:25:57  I glance at my companion.
19:25:57–19:26:03  I observe an approaching couple.
19:26:03–19:26:07  I scan the roadside construction supplies.
19:26:07–19:26:10  I say '这个骑行道是。'
19:26:10–19:26:13  I hear my companion ask "不应该是国家的吗？怎么能随便拦起来吗？".
19:26:14–19:26:18  I say "那都是这样的，来当景区，谁不想自己赚钱呢？".
19:26:19–19:26:22  I say "主要是你这个没法跟他们说，就大家都这样的话。" after my companion says "不道德。".
19:26:23–19:26:28  I say "我小红书，我小红书搜一搜一下，看这个骑行道是可走了不？".
19:26:29–19:26:32  I hear my companion reply "不知道。".
19:26:33–19:26:36  I look at the roadside advertisement signs as my companion points.
19:26:37–19:26:39  I ask "这衣服是他们自个儿买的吧？" looking at the staff member in a red vest.
19:26:40–19:26:43  I say "刚刚走的五分钟已经丢了三四个点了"。
19:26:44–19:26:48  I say "我们正好就收回去，好，好吧"。
19:26:49–19:26:52  I say "收完正好就就回去，好吗？"。
19:26:53–19:26:56  I observe a white rental electric vehicle.
19:26:57–19:27:01  I observe pedestrians and a decorated sightseeing cart.
19:27:02–19:27:06  I walk past a pink sidecar scooter.
19:27:07–19:27:09  I say "老弟，等我一下。" to the guard.
19:27:10–19:27:12  I walk toward a market alley.
19:27:13–19:27:15  I enter the stall corridor.
19:27:16–19:27:19  I observe a grilled corn stall.
19:27:20–19:27:26  I walk past a sausage stall.
19:27:27–19:27:33  I observe a fruit juice stall.
19:27:34–19:27:39  I walk along the covered market corridor.
19:27:40–19:27:44  I walk through the walkway hearing '通道，我们从这里出来了。哦哦。'
19:27:45–19:27:48  I walk past a barbecue stall.
19:27:49–19:27:53  I pass a beverage stall.
19:27:54–19:28:00  I look at a fresh-cut fruit stall.
19:28:01–19:28:05  I walk toward an ice cream freezer.
19:28:06–19:28:09  I inspect the ice creams inside the freezer.
19:28:10–19:28:16  I browse ice cream options inside the freezer.
19:28:17–19:28:22  I scan the middle freezer compartment.
19:28:23–19:28:25  I examine the left freezer compartment.
19:28:26–19:28:27  I slide open the freezer glass door.
19:28:28–19:28:33  I pick up a Yili vanilla milkshake ice cream cup.
19:28:34–19:28:38  I check the freezer price labels.
19:28:39–19:28:39  I lower the ice cream cup into the freezer.
19:28:40–19:28:45  I slide open the ice cream freezer lid.
19:28:46–19:28:48  I inspect a bag of frozen mango.
19:28:49–19:28:55  I examine a Russian-style waffle cone ice cream.
19:28:56–19:29:01  I pick up a Tiankaile Oreo waffle cone ice cream.
19:29:02–19:29:05  I say '我要买个冰激凌。你要吃不？' to my companion.
19:29:06–19:29:09  I look at the freezer holding the ice cream.
19:29:10–19:29:12  I browse the chest freezer.
19:29:12–19:29:15  My companion says '哦。抹茶。弄个棒冰吧。'.
19:29:15–19:29:18  My companion says '好渴呀，算了，要喝吧。'.
19:29:18–19:29:23  My companion says '消斯。买水啊，可就。'.
19:29:24–19:29:26  My companion closes the chest freezer.
19:29:26–19:29:28  I say '对啊，我在看。'.
19:29:28–19:29:31  I open the beverage refrigerator.
19:29:31–19:29:34  I browse the refrigerator beverages.
19:29:34–19:29:36  I say '冰绿茶。'.
19:29:36–19:29:38  I say '水吧，咱要买什么饮料？'.
19:29:38–19:29:39  I take the green tea bottle.
19:29:40–19:29:42  I browse the drinks in the refrigerator.
19:29:42–19:29:44  I say '老板在隔壁。'
19:29:44–19:29:46  I check the adjacent stall.
19:29:46–19:29:48  My companion asks '干嘛？'.
19:29:48–19:29:53  I open Alipay.
19:29:53–19:29:57  I scan the Alipay QR code.
19:29:57–19:30:02  I check the ¥4.00 payment screen in Alipay.
